nb_chemin,nombre_de_generation,distance,temps_mis_execution
21,500,11185.536253021979,132783236
21,500,11523.944760232636,148568596
21,500,12424.128244223886,141757626
21,500,12168.183762487857,135122944
21,500,12057.226489755702,139327318
21,500,11825.117030761454,141125686
21,500,10623.682950084562,140691516
21,500,11787.14459443368,137491338
21,500,11953.478266889742,147564062
21,500,12650.983117007323,158066812
21,500,11645.149859654415,154324160
21,500,11977.445867214277,156562583
21,500,12067.972472879977,156452455
21,500,11271.44768255369,158034446
21,500,12493.163512911055,150021418
21,500,11991.596235922829,151791897
21,500,12409.268173453605,134888415
21,500,11808.682953899044,155592000
21,500,11363.07191671697,150312078
21,500,11414.79409021022,139952188
21,500,12395.510844090943,132809324
21,500,12686.982715637014,140417191
21,500,10259.070878035198,137232420
21,500,11776.179298588193,142063280
21,500,11465.48859691412,139037972
21,500,12633.450754373944,156500259
21,500,11794.216573163745,152633818
21,500,11672.640311208814,131847568
21,500,11893.391812627278,139587993
21,500,10833.054551929099,141204775
21,500,11529.371259457028,129133692
21,500,12456.73761503522,130360168
21,500,11853.856451305532,135073862
21,500,12192.937102942073,146226959
21,500,12214.249516126321,139148177
21,500,11396.349942153003,141914822
21,500,12958.699925983676,131915371
21,500,11959.766136380644,126245437
21,1000,11236.901429889494,248148924
21,1000,10704.028807112338,256520047
21,1000,11207.001991304234,276311253
21,1000,11144.773196588256,277585528
21,1000,12104.774631657912,266277097
21,1000,12183.99024193367,273329850
21,1000,12023.940963808433,285231904
21,1000,11006.85881773284,284946726
21,1000,12020.97325014392,281969338
21,1000,12024.37500033743,267793323
21,1000,10959.202311212432,274106327
21,1000,11075.661901183836,261678945
21,1000,11824.796896760523,260873329
21,1000,11445.394870949895,272751162
21,1000,11680.706036656953,260390759
21,1000,11429.28394117322,281084002
21,1000,11889.582029402307,277538607
21,1000,12055.887448580947,270638301
21,1000,10933.096470427161,267624438
21,1000,12042.469081693143,268264579
21,1000,11237.229596321198,327493566
21,1000,10905.878750223783,271787560
21,1000,10716.634518265915,272259966
21,1000,11430.800980980246,292305895
21,1000,12297.18552241212,266946669
21,1000,11424.795804412139,261628604
21,1000,11798.328345278518,242992999
21,1000,11343.911487091575,243222029
21,1000,11510.1718640881,251340239
21,1000,11676.353511717689,262261924
21,1000,11034.817226771203,257139105
21,1000,11605.590158980716,262491975
21,1000,11894.993597682798,260377986
21,1000,12224.476308424919,262153631
21,1000,11902.248747994097,258723878
21,1000,12112.6871463863,258037925
21,1000,11927.1279798422,258385002
21,1000,11552.877516679368,257134931
21,1000,11498.627705121347,256702285
21,1000,10728.75002630791,257826308
30,60,11604.289680673272,23053422
30,60,13159.518728893676,22025464
30,60,12282.646785090152,22083448
30,60,11413.76514787091,20966715
30,60,12029.49075298715,20643372
30,60,13514.909845456266,20687493
30,60,12871.578503866696,20542712
30,60,13197.649128003202,20311766
30,60,13804.683686904335,20794298
30,60,14016.196537308173,20464100
30,60,12833.01357930621,20500671
30,60,13611.735204654637,21031996
30,60,12152.838024898667,20946509
30,60,12585.683818209287,22226430
30,60,10793.442037234736,22303075
30,60,13648.160452646986,22161572
30,60,11815.980912799725,20769330
30,60,13138.57630273326,20425550
30,60,13028.82406793767,20406157
30,60,12402.661288936039,20382973
30,60,12394.547689508994,20422589
30,60,11666.10509465752,20532989
30,60,13158.043433057894,20540063
30,60,12741.035691103692,20325769
30,60,13031.30046017019,20778852
30,60,11425.321710657956,20664902
30,60,11723.268187735332,20438315
30,60,13560.565891939817,20395247
30,60,12037.651000628173,20794993
30,60,12762.964569761592,20477131
30,60,13541.740290111351,20469267
30,60,13173.790366286854,20297110
30,60,12342.768503992718,20438636
30,60,12648.105989894864,20704970
30,60,11673.990184321752,20640914
30,60,13319.36219225955,20688451
30,60,12875.849277555732,20540760
30,60,12198.0279420082,20523132
30,60,12856.210075751264,23873042
30,60,13206.784362856151,23652191
30,120,11546.955665550704,45602028
30,120,11102.405969846906,42050420
30,120,13199.278390447853,45532220
30,120,11382.71839286856,44513786
30,120,12057.267618284965,41000383
30,120,12620.693902974668,41086917
30,120,11862.281334425521,45485357
30,120,12053.73409665122,41347213
30,120,13155.701929062687,40614537
30,120,12509.84831816453,40340709
30,120,12817.924955490667,43130311
30,120,11926.579818317645,41982564
