nb_chemin,nombre_de_generation,distance,temps_mis_execution
21,1000,11592.95861193509,273959064
21,1000,12293.743418367252,306608602
21,1000,10626.584409213108,279019849
21,1000,11682.310660712583,282080550
21,1000,12668.344356981825,274946415
21,1000,12342.001634237677,277293167
21,1000,11105.965523777464,277307553
21,1000,12010.560841009063,295396750
21,1000,11758.03605454091,287133681
21,1000,11656.632068758,281769621
21,1000,10447.446866503176,253981958
21,1000,12645.267745758645,251369249
21,1000,12178.681550730722,250114160
21,1000,11805.204788285722,251617847
21,1000,11708.619451127845,249966057
21,1000,11983.679471300713,248788006
21,1000,12446.560242409361,266466473
21,1000,11453.343497296495,252578926
21,1000,11003.65671677365,248495845
21,1000,11571.260200793133,247943613
21,1000,11731.481029711345,256383522
21,1000,12359.380746991275,259638343
21,1000,11195.333261170026,248990919
21,1000,11383.81905238308,255501176
21,1000,11824.719881537927,260968814
21,1000,12162.66638825076,268350729
21,1000,12007.461690762222,259023216
21,1000,11866.159292382923,276000137
21,1000,11564.179623793072,257229567
21,1000,11987.295872259496,273416057
21,1000,11998.179308951048,292795272
21,1000,12552.507480975177,251949410
21,1000,12334.024250869556,251453307
30,60,13465.68420458801,21921587
30,60,12075.463306205203,21260565
30,60,10955.35489705007,22706525
30,60,13152.892753157254,22139346
30,60,12556.165800249371,21315422
30,60,12953.634081742704,20843534
30,60,12962.176209141046,21481466
30,60,11956.931347693826,21137505
30,60,14015.264708217053,21538473
30,60,11568.788116143389,21059478
30,60,13799.407959355516,21285463
30,60,12859.730922661132,21285527
30,60,10928.15105685123,21432434
30,60,12856.369215808314,21741400
30,60,12584.358563450787,20869000
30,60,12570.788753761604,21019317
30,60,12468.771100103553,21414436
30,60,13640.31509134219,21329297
30,60,13286.469542592764,21525754
30,60,11605.525678249784,20821966
30,60,13397.170847492236,21066881
30,60,12776.613458462756,21202276
30,60,11763.065989825442,21826380
30,60,13991.801520512465,21267574
30,60,12917.86633502172,21238618
30,60,12072.215204000524,20961147
30,60,13519.560624907139,21293799
30,60,11639.303883049346,21706496
30,60,13412.094779222658,21057882
30,60,11766.345330832355,20996306
30,60,12615.153937978272,20773219
30,60,14090.789204273027,21503159
30,60,13570.264517470177,21312815
30,60,13345.758076574282,22165796
30,60,12738.839325648176,21224953
30,60,11911.16508954686,21045196
30,60,12053.27790924347,21566496
30,60,10297.404355565484,23225736
30,60,12679.752508058547,24541010
30,60,12900.012304621623,22212561
30,120,11625.045350865856,42807525
30,120,11344.690911453015,43825033
30,120,11205.494710342151,45240989
30,120,11705.595448402693,42696525
30,120,12290.399871650448,41684825
30,120,12610.132719916242,44399518
30,120,11577.722793042305,46396372
30,120,11666.473948051062,42157131
30,120,12177.381763947382,41424828
30,120,10640.807641245981,41233558
30,120,12029.817289466215,41237877
30,120,11545.178157822109,41063299
30,120,9898.34853381586,43761761
30,120,11269.40347163141,42977411
30,120,13364.482909961858,41807812
30,120,11815.89995513561,41465484
30,120,10803.24580764181,41880899
30,120,12556.336345981845,41982218
30,120,12511.693867622278,41780643
30,120,12833.70887565,43186978
30,120,13724.742990318095,41326824
30,120,12078.984931848738,48082753
30,120,11761.157517495369,47351196
30,120,12206.438677050563,47355464
30,120,11366.556619482993,46294922
30,120,12024.560621804469,47562147
30,120,13307.704107616786,47215366
30,120,10931.440288446962,47775827
30,120,12629.397771106138,46911184
30,120,13275.243923135014,47219149
30,120,12678.799347370463,44936726
30,120,12494.457628197042,42999494
30,120,11809.882172945321,45206687
30,120,12344.445613370759,45323290
30,120,12486.798854888779,45507658
30,120,11407.876273604568,44568370
30,120,12428.560429540605,42987860
30,120,12445.976444631637,44545020
30,120,13746.245911557027,43042199
30,120,11116.585497965336,41425467
30,500,11083.479165657896,179704774
30,500,11059.097458311819,178149875
30,500,11496.259668150979,178374975
30,500,10926.989613332535,176205784
30,500,11907.350935577488,180824321
30,500,11480.521358424046,189325366
30,500,11539.093764465002,182989056
30,500,10788.996711789983,196465798
30,500,11645.72690436225,196950825
